"Countries","Lat","Long","data","cases","deaths"
"Brazil",-14.235,-51.9253,2020-07-24,2351458,85437
"Brazil",-14.235,-51.9253,2020-07-25,2398993,86536
"Brazil",-14.235,-51.9253,2020-07-26,2421666,87117
"Brazil",-14.235,-51.9253,2020-07-27,2449677,87802
"Brazil",-14.235,-51.9253,2020-07-28,2503681,89060
"Brazil",-14.235,-51.9253,2020-07-29,2559132,90259
"Brazil",-14.235,-51.9253,2020-07-30,2617187,91461
"Brazil",-14.235,-51.9253,2020-07-31,2670451,92728
"Brazil",-14.235,-51.9253,2020-08-01,2711992,93669
"Brazil",-14.235,-51.9253,2020-08-02,2736058,94193
"Brazil",-14.235,-51.9253,2020-08-03,2756164,94795
"Brazil",-14.235,-51.9253,2020-08-04,2812447,96153
"Brazil",-14.235,-51.9253,2020-08-05,2868616,97519
"Brazil",-14.235,-51.9253,2020-08-06,2922605,98745
"Brazil",-14.235,-51.9253,2020-08-07,2972008,99830
"Brazil",-14.235,-51.9253,2020-08-08,3018397,100657
"Brazil",-14.235,-51.9253,2020-08-09,3041127,101226
"Brazil",-14.235,-51.9253,2020-08-10,3067633,102015
"Brazil",-14.235,-51.9253,2020-08-11,3118153,103209
"Brazil",-14.235,-51.9253,2020-08-12,3173107,104393
"Brazil",-14.235,-51.9253,2020-08-13,3233820,105635
"Brazil",-14.235,-51.9253,2020-08-14,3283227,106642
"Brazil",-14.235,-51.9253,2020-08-15,3320108,107365
"Brazil",-14.235,-51.9253,2020-08-16,3343114,107952
"Brazil",-14.235,-51.9253,2020-08-17,3367511,108748
"Brazil",-14.235,-51.9253,2020-08-18,3416775,110100
"Brazil",-14.235,-51.9253,2020-08-19,3465378,111263
"Brazil",-14.235,-51.9253,2020-08-20,3508352,112500
"Brazil",-14.235,-51.9253,2020-08-21,3540678,113551
"Brazil",-14.235,-51.9253,2020-08-22,3586586,114379
"Brazil",-14.235,-51.9253,2020-08-23,3608459,114834
"Brazil",-14.235,-51.9253,2020-08-24,3631972,115557
"Brazil",-14.235,-51.9253,2020-08-25,3678279,116760
"Brazil",-14.235,-51.9253,2020-08-26,3726431,117839
"Brazil",-14.235,-51.9253,2020-08-27,3768691,118824
"Brazil",-14.235,-51.9253,2020-08-28,3812779,119673
"Brazil",-14.235,-51.9253,2020-08-29,3850070,120570
"Brazil",-14.235,-51.9253,2020-08-30,3864604,120971
"Brazil",-14.235,-51.9253,2020-08-31,3914829,121618
"Brazil",-14.235,-51.9253,2020-09-01,3959158,122768
"Brazil",-14.235,-51.9253,2020-09-02,4005611,123972
"Brazil",-14.235,-51.9253,2020-09-03,4052420,124839
"Brazil",-14.235,-51.9253,2020-09-04,4091959,125688
"Brazil",-14.235,-51.9253,2020-09-05,4125816,126292
"Brazil",-14.235,-51.9253,2020-09-06,4140488,126750
"Brazil",-14.235,-51.9253,2020-09-07,4150004,127070
"Brazil",-14.235,-51.9253,2020-09-08,4168790,127595
"Brazil",-14.235,-51.9253,2020-09-09,4205877,128752
"Brazil",-14.235,-51.9253,2020-09-10,4246638,129726
"Brazil",-14.235,-51.9253,2020-09-11,4288171,130574
"Brazil",-14.235,-51.9253,2020-09-12,4318971,131341
"Brazil",-14.235,-51.9253,2020-09-13,4332991,131746
"Brazil",-14.235,-51.9253,2020-09-14,4353602,132204
"Brazil",-14.235,-51.9253,2020-09-15,4388154,133286
"Brazil",-14.235,-51.9253,2020-09-16,4425451,134248
"Brazil",-14.235,-51.9253,2020-09-17,4461856,135117
"Brazil",-14.235,-51.9253,2020-09-18,4501587,135945
"Brazil",-14.235,-51.9253,2020-09-19,4531145,136626
"Brazil",-14.235,-51.9253,2020-09-20,4546587,136977
"Brazil",-14.235,-51.9253,2020-09-21,4564222,137443
"Brazil",-14.235,-51.9253,2020-09-22,4599189,138237
"Brazil",-14.235,-51.9253,2020-09-23,4631915,139169
"Brazil",-14.235,-51.9253,2020-09-24,4663930,139964
"Brazil",-14.235,-51.9253,2020-09-25,4696240,140786
"Brazil",-14.235,-51.9253,2020-09-26,4720958,141508
"Brazil",-14.235,-51.9253,2020-09-27,4734745,141847
"Brazil",-14.235,-51.9253,2020-09-28,4751616,142238
"Brazil",-14.235,-51.9253,2020-09-29,4784464,143096
"Brazil",-14.235,-51.9253,2020-09-30,4817365,144078
"Brazil",-14.235,-51.9253,2020-10-01,4853148,144851
"Brazil",-14.235,-51.9253,2020-10-02,4885966,145505
"Brazil",-14.235,-51.9253,2020-10-03,4908974,146093
"Brazil",-14.235,-51.9253,2020-10-04,4917689,146451
"Brazil",-14.235,-51.9253,2020-10-05,4943742,146844
"Brazil",-14.235,-51.9253,2020-10-06,4975268,147654
"Brazil",-14.235,-51.9253,2020-10-07,5006206,148379
"Brazil",-14.235,-51.9253,2020-10-08,5033036,149114
"Brazil",-14.235,-51.9253,2020-10-09,5060769,149768
"Brazil",-14.235,-51.9253,2020-10-10,5084513,150302
"Brazil",-14.235,-51.9253,2020-10-11,5096704,150580
"Brazil",-14.235,-51.9253,2020-10-12,5105340,150774
"Brazil",-14.235,-51.9253,2020-10-13,5118699,151152
"Brazil",-14.235,-51.9253,2020-10-14,5146543,151884
"Brazil",-14.235,-51.9253,2020-10-15,5176969,152698
"Brazil",-14.235,-51.9253,2020-10-16,5205565,153341
"Brazil",-14.235,-51.9253,2020-10-17,5226341,153756
"Brazil",-14.235,-51.9253,2020-10-18,5238392,153991
"Brazil",-14.235,-51.9253,2020-10-19,5254971,154317
"Brazil",-14.235,-51.9253,2020-10-20,5278737,154965
"Brazil",-14.235,-51.9253,2020-10-21,5304593,155536
"Brazil",-14.235,-51.9253,2020-10-22,5329357,156041
"Brazil",-14.235,-51.9253,2020-10-23,5359358,156604
"Brazil",-14.235,-51.9253,2020-10-24,5384342,156991
"Brazil",-14.235,-51.9253,2020-10-25,5396596,157224
"Brazil",-14.235,-51.9253,2020-10-26,5415207,157526
"Brazil",-14.235,-51.9253,2020-10-27,5445189,158052
"Brazil",-14.235,-51.9253,2020-10-28,5473540,158556
"Brazil",-14.235,-51.9253,2020-10-29,5500240,159107
"Brazil",-14.235,-51.9253,2020-10-30,5524593,159680
